# Text Cleanup report
Version	0.5
Input	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data/70Election/1.txt
Output	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data-clean/1.txt
# Counts
Pass	11603
Fixed	748
Unfixable	1
Original length	66619
Total Levenshtein dist	1591
# Fixes
Original	Fix	Heuristic
Wl!	awl!	TextCoreSpellCheckHeuristic
Fhe	fee	SpellCheckersHeuristic (dist:5)
ien	bien	SpellCheckersHeuristic (dist:5)
 # alternatives
	i en	WordUnmergerHeuristic
Jusi	just	SpellCheckersHeuristic (dist:5)
 # alternatives
	ju si	WordUnmergerHeuristic
	jus i	WordUnmergerHeuristic
she's	sheds	SpellCheckersHeuristic (dist:5)
we've	weave	SpellCheckersHeuristic (dist:5)
God's	gods	SpellCheckersHeuristic (dist:5)
b.okcn	bookcase	SpellCheckersHeuristic (dist:5)
 # alternatives
	bab.once	TextCoreSpellCheckHeuristic
To-BorrioboolaGhat"	to-morrow	SpellCheckersHeuristic (dist:5)
 # alternatives
	tod-borrow"	TextCoreSpellCheckHeuristic
Ah.no!	aha.nod!	TextCoreSpellCheckHeuristic
eveiy	every	SpellCheckersHeuristic (dist:5)
sutlering	sputtering	SpellCheckersHeuristic (dist:5)
There's	thereat	SpellCheckersHeuristic (dist:5)
lasds,	lands,	TextCoreSpellCheckHeuristic
heathkh	heathen	SpellCheckersHeuristic (dist:5)
Fik-st	thick-set	SpellCheckersHeuristic (dist:5)
 # alternatives
	fink-stab	TextCoreSpellCheckHeuristic
Whoe'er	whoever	SpellCheckersHeuristic (dist:5)
 # alternatives
	who e'er	WordUnmergerHeuristic
Khali	khan	SpellCheckersHeuristic (dist:5)
ilorrioboola	torribal	SpellCheckersHeuristic (dist:5)
 # alternatives
	gloriously	SpellCheckersHeuristic (dist:5)
Gha."	aha."	TextCoreSpellCheckHeuristic
rneamatlsm.	dramatis.	TextCoreSpellCheckHeuristic
ESIISEXT	essex	SpellCheckersHeuristic (dist:5)
croakers	croak ers	WordUnmergerHeuristic
grumblers	grumbled	SpellCheckersHeuristic (dist:5)
dailv	daily	SpellCheckersHeuristic (dist:5)
neaitn.	neath.	TextCoreSpellCheckHeuristic
isut	is't	SpellCheckersHeuristic (dist:5)
 # alternatives
	is ut	WordUnmergerHeuristic
rneumatism	rheumatism	SpellCheckersHeuristic (dist:5)
catarrh."	cataract."	TextCoreSpellCheckHeuristic
Uie	une	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
liheumatism	rheumatism	SpellCheckersHeuristic (dist:5)
epecine	especial	SpellCheckersHeuristic (dist:5)
uie	une	SpellCheckersHeuristic (dist:5)
blooa,	blood,	TextCoreSpellCheckHeuristic
iauity	iniquity	SpellCheckersHeuristic (dist:5)
lactic	tactics	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
rheu	rho	SpellCheckersHeuristic (dist:5)
