# Text Cleanup report
Version	0.5
Input	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data/70Election/1.txt
Output	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data-clean/1.txt
# Counts
Pass	11603
Fixed	748
Unfixable	1
Original length	66619
Total Levenshtein dist	1591
# Fixes
Original	Fix	Heuristic
Bertholf,	bertha,	TextCoreSpellCheckHeuristic
Harry's	harris	SpellCheckersHeuristic (dist:5)
oy.	boy.	TextCoreSpellCheckHeuristic
that's	thatch	SpellCheckersHeuristic (dist:5)
that's	thatch	SpellCheckersHeuristic (dist:5)
Bt	bat	SpellCheckersHeuristic (dist:5)
John's	johns	SpellCheckersHeuristic (dist:5)
Don't,	donald	SpellCheckersHeuristic (dist:5)
 # alternatives
	dona'tat,	TextCoreSpellCheckHeuristic
That's	thatch	SpellCheckersHeuristic (dist:5)
Well,-he	weld,-hee	TextCoreSpellCheckHeuristic
spank	spans	SpellCheckersHeuristic (dist:5)
large-formed	larger-former	TextCoreSpellCheckHeuristic
Didn't	did n't	WordUnmergerHeuristic
wouldn't	would n't	WordUnmergerHeuristic
I've	i'se	SpellCheckersHeuristic (dist:5)
'Don't!	'dona'tat!	TextCoreSpellCheckHeuristic
don't!	donald	SpellCheckersHeuristic (dist:5)
 # alternatives
	dona'tat!	TextCoreSpellCheckHeuristic
holdup!	hold up!	TextCoreSpellCheckHeuristic
Don't	do n't	WordUnmergerHeuristic
titat	titan	SpellCheckersHeuristic (dist:5)
 # alternatives
	ti tat	WordUnmergerHeuristic
	tit at	WordUnmergerHeuristic
He'll	hell	SpellCheckersHeuristic (dist:5)
Botb.scb.lld	both.sob.old	TextCoreSpellCheckHeuristic
ancec	ance	SpellCheckersHeuristic (dist:5)
Rothschild	rotherwood	SpellCheckersHeuristic (dist:5)
Schefter,	schemes,	TextCoreSpellCheckHeuristic
friend's	friends	SpellCheckersHeuristic (dist:5)
followiag	following	SpellCheckersHeuristic (dist:5)
Scheffer,-	schemes,-	TextCoreSpellCheckHeuristic
Rothschild."	rotherwood."	TextCoreSpellCheckHeuristic
Rothschild's	childe	SpellCheckersHeuristic (dist:5)
Ui	gui	SpellCheckersHeuristic (dist:5)
.Miff-:	.muff-:	TextCoreSpellCheckHeuristic
::fvt	::fat	TextCoreSpellCheckHeuristic
SOUTDXBX	southern	SpellCheckersHeuristic (dist:5)
51WS	51was	TextCoreSpellCheckHeuristic
Newbern,	newbury,	TextCoreSpellCheckHeuristic
U,	uel	SpellCheckersHeuristic (dist:5)
 # alternatives
	uel,	TextCoreSpellCheckHeuristic
DuiidingBiioage.,;.'.	dividing.,;.'.	TextCoreSpellCheckHeuristic
bucketful.	bucket ful.	TextCoreSpellCheckHeuristic
percent	per cent	WordUnmergerHeuristic
siuce	sauce	SpellCheckersHeuristic (dist:5)
Ala.	alan	SpellCheckersHeuristic (dist:5)
 # alternatives
	alan.	TextCoreSpellCheckHeuristic
olliee..	collier..	TextCoreSpellCheckHeuristic
ConfedeatOrphans	confederacies	SpellCheckersHeuristic (dist:5)
Jacksonville	jackson ville	WordUnmergerHeuristic
Scoba,	escobar	SpellCheckersHeuristic (dist:5)
 # alternatives
	scoff,	TextCoreSpellCheckHeuristic
commodio'tg	commodious	SpellCheckersHeuristic (dist:5)
 # alternatives
	commodity'tag	TextCoreSpellCheckHeuristic
stohe	stole	SpellCheckersHeuristic (dist:5)
ICth,	ich,	TextCoreSpellCheckHeuristic
4Sth	seth	SpellCheckersHeuristic (dist:5)
 # alternatives
	4seth	TextCoreSpellCheckHeuristic
IhM	ihe	SpellCheckersHeuristic (dist:5)
affiliations.	afflictions.	TextCoreSpellCheckHeuristic
Missisnippi	mississippi	SpellCheckersHeuristic (dist:5)
Jfl.tWO	jul.twos	TextCoreSpellCheckHeuristic
sucscription	subscription	SpellCheckersHeuristic (dist:5)
Forest's	forests	SpellCheckersHeuristic (dist:5)
Huntsville,	hunts ville,	TextCoreSpellCheckHeuristic
Ala.,	alan.,	TextCoreSpellCheckHeuristic
quietus	quiet us	WordUnmergerHeuristic
Escambia	escapade	SpellCheckersHeuristic (dist:5)
Ala.,	alan.,	TextCoreSpellCheckHeuristic
recenUy	recent	SpellCheckersHeuristic (dist:5)
Conecuh	connects	SpellCheckersHeuristic (dist:5)
ex-sheriff,	exit-sheriffs,	TextCoreSpellCheckHeuristic
Warrentn	warrenton	SpellCheckersHeuristic (dist:5)
 # alternatives
	warren tn	WordUnmergerHeuristic
u	uel	SpellCheckersHeuristic (dist:5)
Avar	afar	SpellCheckersHeuristic (dist:5)
 # alternatives
	av ar	WordUnmergerHeuristic
stovra	stove	SpellCheckersHeuristic (dist:5)
emwk	emil	SpellCheckersHeuristic (dist:5)
 # alternatives
	edw	SpellCheckersHeuristic (dist:5)
rif	rife	SpellCheckersHeuristic (dist:5)
aAV	alv	SpellCheckersHeuristic (dist:5)
Gann,	gang,	TextCoreSpellCheckHeuristic
forgotton	forgotten	SpellCheckersHeuristic (dist:5)
 # alternatives
	forgot ton	WordUnmergerHeuristic
Wyan	wyman	SpellCheckersHeuristic (dist:5)
dotte	dotted	SpellCheckersHeuristic (dist:5)
 # alternatives
	dot te	WordUnmergerHeuristic
pacers	packers	SpellCheckersHeuristic (dist:5)
 # alternatives
	pac ers	WordUnmergerHeuristic
Ace-of-Diamonds	ache-off-diamond	TextCoreSpellCheckHeuristic
Boyce,	boyle,	TextCoreSpellCheckHeuristic
Istio	ist io	WordUnmergerHeuristic
Senter	sen ter	WordUnmergerHeuristic
 # alternatives
	sent er	WordUnmergerHeuristic
aiso	also	SpellCheckersHeuristic (dist:5)
 # alternatives
	ai so	WordUnmergerHeuristic
laaeu,	label,	TextCoreSpellCheckHeuristic
(Tenu.)	(tend.)	TextCoreSpellCheckHeuristic
-B-cm	-bab-cam	TextCoreSpellCheckHeuristic
llcraldvtih	aldrich	SpellCheckersHeuristic (dist:5)
mance	manse	SpellCheckersHeuristic (dist:5)
 # alternatives
	man ce	WordUnmergerHeuristic
fiog	flog	SpellCheckersHeuristic (dist:5)
laV.	lava	SpellCheckersHeuristic (dist:5)
 # alternatives
	lava.	TextCoreSpellCheckHeuristic
iro	iron	SpellCheckersHeuristic (dist:5)
 # alternatives
	i ro	WordUnmergerHeuristic
Uie	une	SpellCheckersHeuristic (dist:5)
penecuy	seneca	SpellCheckersHeuristic (dist:5)
bouuq	bough	SpellCheckersHeuristic (dist:5)
m--m	mam	SpellCheckersHeuristic (dist:5)
butuous	fatuous	SpellCheckersHeuristic (dist:5)
harty	harte	SpellCheckersHeuristic (dist:5)
 # alternatives
	har ty	WordUnmergerHeuristic
welcum	welch	SpellCheckersHeuristic (dist:5)
Duras	dumas	SpellCheckersHeuristic (dist:5)
 # alternatives
	du ras	WordUnmergerHeuristic
	dur as	WordUnmergerHeuristic
drover,	droves,	TextCoreSpellCheckHeuristic
skream,	scream,	TextCoreSpellCheckHeuristic
kats	kate	SpellCheckersHeuristic (dist:5)
msay	may	SpellCheckersHeuristic (dist:5)
 # alternatives
	ms ay	WordUnmergerHeuristic
uie	une	SpellCheckersHeuristic (dist:5)
bedbug	bed bug	WordUnmergerHeuristic
nobby	nabby	SpellCheckersHeuristic (dist:5)
roach	reach	SpellCheckersHeuristic (dist:5)
 # alternatives
	ro ach	WordUnmergerHeuristic
rbi."	roi."	TextCoreSpellCheckHeuristic
musketeer,	musketry	SpellCheckersHeuristic (dist:5)
 # alternatives
	musketry,	TextCoreSpellCheckHeuristic
year's	yearns	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
naKea	naked	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
snanghigh	shanghai	SpellCheckersHeuristic (dist:5)
month's	months	SpellCheckersHeuristic (dist:5)
Sealey,	sealed,	TextCoreSpellCheckHeuristic
Ute	bute	SpellCheckersHeuristic (dist:5)
JHaven:	haven:	TextCoreSpellCheckHeuristic
Agriculturalist	agricultural ist	WordUnmergerHeuristic
;yoLxYr--o;:44.	;yolks--oar;:44.	TextCoreSpellCheckHeuristic
stJBBIKS.	stebbins.	TextCoreSpellCheckHeuristic
one's	ones	SpellCheckersHeuristic (dist:5)
Calafornia	california	SpellCheckersHeuristic (dist:5)
fs	fas	SpellCheckersHeuristic (dist:5)
Jewsharo	jewelry	SpellCheckersHeuristic (dist:5)
jaws-harp,	jars-hard,	TextCoreSpellCheckHeuristic
Anxericus,	anxious,	TextCoreSpellCheckHeuristic
tactory.	factory.	TextCoreSpellCheckHeuristic
dispenses	dispensed	SpellCheckersHeuristic (dist:5)
jou	job	SpellCheckersHeuristic (dist:5)
slivers	shivers	SpellCheckersHeuristic (dist:5)
Croley	cooley	SpellCheckersHeuristic (dist:5)
womnuask	womanish	SpellCheckersHeuristic (dist:5)
hervelf	herself	SpellCheckersHeuristic (dist:5)
Otsego	oswego	SpellCheckersHeuristic (dist:5)
Surinam,	surname	SpellCheckersHeuristic (dist:5)
 # alternatives
	surname,	TextCoreSpellCheckHeuristic
understock	under stock	WordUnmergerHeuristic
mucn	much	SpellCheckersHeuristic (dist:5)
Yokohama,	okoya,	TextCoreSpellCheckHeuristic
placarded	placard ed	WordUnmergerHeuristic
green-houses,	green-house	SpellCheckersHeuristic (dist:5)
 # alternatives
	greed-housed,	TextCoreSpellCheckHeuristic
men's	ments	SpellCheckersHeuristic (dist:5)
BraIes,	braids,	TextCoreSpellCheckHeuristic
Freetown,	free town,	TextCoreSpellCheckHeuristic
psalm-book	psalms-boom	TextCoreSpellCheckHeuristic
Elliot's	elliott	SpellCheckersHeuristic (dist:5)
busby	bushy	SpellCheckersHeuristic (dist:5)
 # alternatives
	bus by	WordUnmergerHeuristic
eame	ame	SpellCheckersHeuristic (dist:5)
 # alternatives
	ease	SpellCheckersHeuristic (dist:5)
trouncing;	troubling;	TextCoreSpellCheckHeuristic
orang,	orange	SpellCheckersHeuristic (dist:5)
 # alternatives
	orange,	TextCoreSpellCheckHeuristic
chimpanze,'on	chiming,'one	TextCoreSpellCheckHeuristic
ue	uel	SpellCheckersHeuristic (dist:5)
witn.	with.	TextCoreSpellCheckHeuristic
neaa	neal	SpellCheckersHeuristic (dist:5)
 # alternatives
	ne aa	WordUnmergerHeuristic
orang	orange	SpellCheckersHeuristic (dist:5)
 # alternatives
	or ang	WordUnmergerHeuristic
Jeep	jeer	SpellCheckersHeuristic (dist:5)
uie	une	SpellCheckersHeuristic (dist:5)
ruewiounuland	newfoundland	SpellCheckersHeuristic (dist:5)
Himalayan	malays	SpellCheckersHeuristic (dist:5)
quarrying	quarry ing	WordUnmergerHeuristic
witn	with	SpellCheckersHeuristic (dist:5)
 # alternatives
	wi tn	WordUnmergerHeuristic
Ky.,	kyd.,	TextCoreSpellCheckHeuristic
sne	sane	SpellCheckersHeuristic (dist:5)
lhts.	lets.	TextCoreSpellCheckHeuristic
tneir	their	SpellCheckersHeuristic (dist:5)
rxxnes	raines	SpellCheckersHeuristic (dist:5)
SleeBlig	sleeping	SpellCheckersHeuristic (dist:5)
Xed	axed	SpellCheckersHeuristic (dist:5)
dothes,	doth es,	TextCoreSpellCheckHeuristic
derange	deranged	SpellCheckersHeuristic (dist:5)
 # alternatives
	de range	WordUnmergerHeuristic
iliminatiye	elimination	SpellCheckersHeuristic (dist:5)
absorbent	absorb ent	WordUnmergerHeuristic
absorber	absorbed	SpellCheckersHeuristic (dist:5)
 # alternatives
	absorb er	WordUnmergerHeuristic
eliminator	eliminate	SpellCheckersHeuristic (dist:5)
thk	tha	SpellCheckersHeuristic (dist:5)
cmusKxar.	muskrat.	TextCoreSpellCheckHeuristic
beauTtfal	beautiful	SpellCheckersHeuristic (dist:5)
yn	cyn	SpellCheckersHeuristic (dist:5)
Charto	charta	SpellCheckersHeuristic (dist:5)
 # alternatives
	char to	WordUnmergerHeuristic
w21r?	wan21rag?	TextCoreSpellCheckHeuristic
kon	kong	SpellCheckersHeuristic (dist:5)
endert,	endear,	TextCoreSpellCheckHeuristic
achool	school	SpellCheckersHeuristic (dist:5)
tb	tbe	SpellCheckersHeuristic (dist:5)
dbunJd.	bunce.	TextCoreSpellCheckHeuristic
aroundSe	around	SpellCheckersHeuristic (dist:5)
 # alternatives
	around se	WordUnmergerHeuristic
Uttle	tuttle	SpellCheckersHeuristic (dist:5)
Ky	kyd	SpellCheckersHeuristic (dist:5)
-embraee	-embrace	TextCoreSpellCheckHeuristic
L,.f!alln	lal,.f'r!ally	TextCoreSpellCheckHeuristic
haJo"	halo"	TextCoreSpellCheckHeuristic
haTen.	hated.	TextCoreSpellCheckHeuristic
ShedcUnjr	shedding	SpellCheckersHeuristic (dist:5)
Bunaoiae	bunce	SpellCheckersHeuristic (dist:5)
 # alternatives
	bungling	SpellCheckersHeuristic (dist:5)
alt	alto	SpellCheckersHeuristic (dist:5)
 # alternatives
	a lt	WordUnmergerHeuristic
dreamJng,	dreaming,	TextCoreSpellCheckHeuristic
Oflove	clove	SpellCheckersHeuristic (dist:5)
 # alternatives
	of love	WordUnmergerHeuristic
wUl	wud	SpellCheckersHeuristic (dist:5)
Wht	what	SpellCheckersHeuristic (dist:5)
MblM	balm	SpellCheckersHeuristic (dist:5)
nnL.	nil.	TextCoreSpellCheckHeuristic
.rk.	.ark.	TextCoreSpellCheckHeuristic
Ita	iota	SpellCheckersHeuristic (dist:5)
 # alternatives
	i ta	WordUnmergerHeuristic
	it a	WordUnmergerHeuristic
wtrkndneaa	kindness	SpellCheckersHeuristic (dist:5)
pwuro	pedro	SpellCheckersHeuristic (dist:5)
khww	haw	SpellCheckersHeuristic (dist:5)
 # alternatives
	khan	SpellCheckersHeuristic (dist:5)
rlory	glory	SpellCheckersHeuristic (dist:5)
waa	waal	SpellCheckersHeuristic (dist:5)
 # alternatives
	wa a	WordUnmergerHeuristic
wxxit	wait	SpellCheckersHeuristic (dist:5)
Hicyurf	hickory	SpellCheckersHeuristic (dist:5)
iiaooea	tabooed	SpellCheckersHeuristic (dist:5)
mr.ve,rt	mrs.ven,art	TextCoreSpellCheckHeuristic
Kwii	kai	SpellCheckersHeuristic (dist:5)
woman's.	womanish	SpellCheckersHeuristic (dist:5)
xir	xii	SpellCheckersHeuristic (dist:5)
r;i,	raid	SpellCheckersHeuristic (dist:5)
U1	uel	SpellCheckersHeuristic (dist:5)
 # alternatives
	uel1	TextCoreSpellCheckHeuristic
inning	sinning	SpellCheckersHeuristic (dist:5)
 # alternatives
	inn ing	WordUnmergerHeuristic
wui	wud	SpellCheckersHeuristic (dist:5)
lempen	lem pen	WordUnmergerHeuristic
HOhoIr	choir	SpellCheckersHeuristic (dist:5)
klol	klan	SpellCheckersHeuristic (dist:5)
honwhokla	honora	SpellCheckersHeuristic (dist:5)
HW	haw	SpellCheckersHeuristic (dist:5)
Htill	still	SpellCheckersHeuristic (dist:5)
Meep	meed	SpellCheckersHeuristic (dist:5)
treU;	tree;	TextCoreSpellCheckHeuristic
HlA	hale	SpellCheckersHeuristic (dist:5)
ATlnrvalill	atlas	SpellCheckersHeuristic (dist:5)
hMm.i.	ham.ian.	TextCoreSpellCheckHeuristic
,h.i...	,hah.ian...	TextCoreSpellCheckHeuristic
thwe	thee	SpellCheckersHeuristic (dist:5)
 # alternatives
	th we	WordUnmergerHeuristic
trnanU	fernando	SpellCheckersHeuristic (dist:5)
hea'	head	SpellCheckersHeuristic (dist:5)
 # alternatives
	head'	TextCoreSpellCheckHeuristic
m..c	mac	SpellCheckersHeuristic (dist:5)
IIIUICIU.UIJ	xliii.uel	TextCoreSpellCheckHeuristic
Itnfl	italy	SpellCheckersHeuristic (dist:5)
miKlX	mike	SpellCheckersHeuristic (dist:5)
Jesns	jests	SpellCheckersHeuristic (dist:5)
 # alternatives
	jes ns	WordUnmergerHeuristic
eoald	donald	SpellCheckersHeuristic (dist:5)
rr-i	rrhe	SpellCheckersHeuristic (dist:5)
 # alternatives
	roi	SpellCheckersHeuristic (dist:5)
ua	qua	SpellCheckersHeuristic (dist:5)
juuguuiu	augustin	SpellCheckersHeuristic (dist:5)
uga	ugh	SpellCheckersHeuristic (dist:5)
CDuu.	chub.	TextCoreSpellCheckHeuristic
Jat	jaf	SpellCheckersHeuristic (dist:5)
ahadow	shadow	SpellCheckersHeuristic (dist:5)
 # alternatives
	aha dow	WordUnmergerHeuristic
tern	term	SpellCheckersHeuristic (dist:5)
Ood	cood	SpellCheckersHeuristic (dist:5)
iraard	girard	SpellCheckersHeuristic (dist:5)
wouiu	would	SpellCheckersHeuristic (dist:5)
oonna	donna	SpellCheckersHeuristic (dist:5)
DacK	dank	SpellCheckersHeuristic (dist:5)
neraph	seraph	SpellCheckersHeuristic (dist:5)
aMnner,	banner,	TextCoreSpellCheckHeuristic
iiQi	iii	SpellCheckersHeuristic (dist:5)
tunner	tunnel	SpellCheckersHeuristic (dist:5)
 # alternatives
	tun ner	WordUnmergerHeuristic
nimieir.	inimical.	TextCoreSpellCheckHeuristic
Thev	thea	SpellCheckersHeuristic (dist:5)
lauirht	laughs	SpellCheckersHeuristic (dist:5)
 # alternatives
	laugh	SpellCheckersHeuristic (dist:5)
mnlnM	manly	SpellCheckersHeuristic (dist:5)
Clmi	cl mi	WordUnmergerHeuristic
darknem.	darkness	SpellCheckersHeuristic (dist:5)
 # alternatives
	darkness.	TextCoreSpellCheckHeuristic
ftufflcient	sufficient	SpellCheckersHeuristic (dist:5)
iuve	iu ve	WordUnmergerHeuristic
taw	thaw	SpellCheckersHeuristic (dist:5)
scoooi.	scoop.	TextCoreSpellCheckHeuristic
okl	oil	SpellCheckersHeuristic (dist:5)
hcj	hcl	SpellCheckersHeuristic (dist:5)
uinsnon	cannon	SpellCheckersHeuristic (dist:5)
sih	sich	SpellCheckersHeuristic (dist:5)
"good-nights"	"goot-knights"	TextCoreSpellCheckHeuristic
Kush	bush	SpellCheckersHeuristic (dist:5)
Sowerinui	cowering	SpellCheckersHeuristic (dist:5)
ati	anti	SpellCheckersHeuristic (dist:5)
 # alternatives
	a ti	WordUnmergerHeuristic
	at i	WordUnmergerHeuristic
atnet	at net	WordUnmergerHeuristic
kiii	iii	SpellCheckersHeuristic (dist:5)
 # alternatives
	ki ii	WordUnmergerHeuristic
ineir	inert	SpellCheckersHeuristic (dist:5)
ueucate	educate	SpellCheckersHeuristic (dist:5)
teet	teem	SpellCheckersHeuristic (dist:5)
 # alternatives
	te et	WordUnmergerHeuristic
dLsmlssedr	dismissed	SpellCheckersHeuristic (dist:5)
uiu	uel	SpellCheckersHeuristic (dist:5)
 # alternatives
	unit	SpellCheckersHeuristic (dist:5)
goou-mguiana	good-guiana	TextCoreSpellCheckHeuristic
sussea.	sussex.	TextCoreSpellCheckHeuristic
h!k	hack	SpellCheckersHeuristic (dist:5)
ick,	dick,	TextCoreSpellCheckHeuristic
tryinir	tryin ir	WordUnmergerHeuristic
Jesti.	jests.	TextCoreSpellCheckHeuristic
nleu-se	noel-sea	TextCoreSpellCheckHeuristic
jUea-whi	juan-whig	TextCoreSpellCheckHeuristic
(Jolden	(colden	TextCoreSpellCheckHeuristic
Kule."	jule."	TextCoreSpellCheckHeuristic
hould	hound	SpellCheckersHeuristic (dist:5)
btth	bath	SpellCheckersHeuristic (dist:5)
wsnt	want	SpellCheckersHeuristic (dist:5)
mother's	mothers	SpellCheckersHeuristic (dist:5)
ulie	julie	SpellCheckersHeuristic (dist:5)
Uie	une	SpellCheckersHeuristic (dist:5)
don't	do n't	WordUnmergerHeuristic
uod	quod	SpellCheckersHeuristic (dist:5)
gwrom	groom	SpellCheckersHeuristic (dist:5)
vou.	vous	SpellCheckersHeuristic (dist:5)
 # alternatives
	vous.	TextCoreSpellCheckHeuristic
Drotect	protect	SpellCheckersHeuristic (dist:5)
liut	lift	SpellCheckersHeuristic (dist:5)
 # alternatives
	li ut	WordUnmergerHeuristic
beLn	bell	SpellCheckersHeuristic (dist:5)
sr	sar	SpellCheckersHeuristic (dist:5)
lanre	lance	SpellCheckersHeuristic (dist:5)
 # alternatives
	lan re	WordUnmergerHeuristic
nimseir	himself	SpellCheckersHeuristic (dist:5)
aia	aria	SpellCheckersHeuristic (dist:5)
 # alternatives
	a ia	WordUnmergerHeuristic
	ai a	WordUnmergerHeuristic
coDja--"	cod ja--"	TextCoreSpellCheckHeuristic
aitnougn	enough	SpellCheckersHeuristic (dist:5)
Hera,	herb,	TextCoreSpellCheckHeuristic
can't	canst	SpellCheckersHeuristic (dist:5)
 # alternatives
	can'st	SpellCheckersHeuristic (dist:5)
	ca n't	WordUnmergerHeuristic
don't	do n't	WordUnmergerHeuristic
nome."	name."	TextCoreSpellCheckHeuristic
helDed	welded	SpellCheckersHeuristic (dist:5)
 # alternatives
	held ed	WordUnmergerHeuristic
bousvand	boulevard	SpellCheckersHeuristic (dist:5)
WeUsprmg.	suspending.	TextCoreSpellCheckHeuristic
Kllliman,	silliman,	TextCoreSpellCheckHeuristic
rom	rome	SpellCheckersHeuristic (dist:5)
inforce	enforce	SpellCheckersHeuristic (dist:5)
 # alternatives
	in force	WordUnmergerHeuristic
rianta	giants	SpellCheckersHeuristic (dist:5)
Uorapius	horatius	SpellCheckersHeuristic (dist:5)
Calabra,	calabazas	SpellCheckersHeuristic (dist:5)
 # alternatives
	calabash,	TextCoreSpellCheckHeuristic
ltome,	tome,	TextCoreSpellCheckHeuristic
Cesar,	cedar,	TextCoreSpellCheckHeuristic
Farnum,	barnum,	TextCoreSpellCheckHeuristic
teet.	teeth	SpellCheckersHeuristic (dist:5)
 # alternatives
	teem.	TextCoreSpellCheckHeuristic
crog,	crom,	TextCoreSpellCheckHeuristic
Gunkh,	gunn,	TextCoreSpellCheckHeuristic
Frragua,	farragut,	TextCoreSpellCheckHeuristic
waa	waal	SpellCheckersHeuristic (dist:5)
 # alternatives
	wa a	WordUnmergerHeuristic
Isorent,	sorrento	SpellCheckersHeuristic (dist:5)
ine	inez	SpellCheckersHeuristic (dist:5)
 # alternatives
	inc	SpellCheckersHeuristic (dist:5)
	i ne	WordUnmergerHeuristic
liacan	anglican	SpellCheckersHeuristic (dist:5)
twentv-twe	twenty-two	SpellCheckersHeuristic (dist:5)
 # alternatives
	twenty-twel	TextCoreSpellCheckHeuristic
leemign;	leering	SpellCheckersHeuristic (dist:5)
 # alternatives
	deeming;	TextCoreSpellCheckHeuristic
inign	benign	SpellCheckersHeuristic (dist:5)
ModerL	modern	SpellCheckersHeuristic (dist:5)
Daupbine,	dauphin,	TextCoreSpellCheckHeuristic
ixr	idr	SpellCheckersHeuristic (dist:5)
teen	teem	SpellCheckersHeuristic (dist:5)
 # alternatives
	te en	WordUnmergerHeuristic
"Keutolochus	"moloch	TextCoreSpellCheckHeuristic
gomery,	gomez,	TextCoreSpellCheckHeuristic
Ala.,	alan.,	TextCoreSpellCheckHeuristic
citiwa	cities	SpellCheckersHeuristic (dist:5)
tnat	that	SpellCheckersHeuristic (dist:5)
 # alternatives
	tn at	WordUnmergerHeuristic
tne	tine	SpellCheckersHeuristic (dist:5)
fanla	fan la	WordUnmergerHeuristic
8pri	8prig	TextCoreSpellCheckHeuristic
honra	honora	SpellCheckersHeuristic (dist:5)
 # alternatives
	hon ra	WordUnmergerHeuristic
Mnhita	mehitable	SpellCheckersHeuristic (dist:5)
bavins	bivins	SpellCheckersHeuristic (dist:5)
